date,evap_mm
2025-08-01,0.25297828971898184
2025-08-02,4.576376215410107
2025-08-03,4.094050763397689
2025-08-04,0.5386861997673122
2025-08-05,3.5490153891001057
2025-08-06,4.315158045957304
2025-08-07,4.875134349141575
2025-08-08,5.07431363224822
2025-08-09,3.2016194061787075
2025-08-10,2.7747246564985915
2025-08-11,2.3794026773885832
2025-08-12,1.9244418529824259
2025-08-13,3.530220292839374
2025-08-14,3.7205553412269126
2025-08-15,2.234920110988611
2025-08-16,1.9319632470415797
2025-08-17,5.426328457462404
2025-08-18,3.263217846921293
2025-08-19,3.0392942577230144
2025-08-20,3.512157327541786
2025-08-21,3.564970487830408
2025-08-22,4.674991435249893
2025-08-23,6.284251700230499
2025-08-24,2.563136484022209
2025-08-25,0.35375719480731505
2025-08-26,3.4398472922873964
2025-08-27,3.0314754300555933
2025-08-28,3.185490849796196
2025-08-29,2.3646044875727057
2025-08-30,3.4330004749597833
2025-08-31,4.3146692409938225
2025-09-01,3.161375426722998
2025-09-02,4.52066950214288
2025-09-03,2.88601687828762
2025-09-04,2.6861913771493846
2025-09-05,2.9424665881421106
2025-09-06,3.1460914271909957
2025-09-07,2.8682486203126984
2025-09-08,3.5718264061077036
2025-09-09,4.988421930250595
2025-09-10,5.728426199830608
2025-09-11,3.3370911321511016
2025-09-12,4.347804017370649
2025-09-13,4.180961936273249
2025-09-14,3.3033801076728935
2025-09-15,2.8470203929129525
2025-09-16,3.5273613587065427
2025-09-17,3.8620449496390847
2025-09-18,4.499064665717697
2025-09-19,2.617291963176271
2025-09-20,0.9833449897603401
2025-09-21,3.005417333022635
2025-09-22,3.1585644998225177
2025-09-23,3.8468274631768153
2025-09-24,4.495250532115705
2025-09-25,2.4205289169986344
2025-09-26,2.301060183612769
2025-09-27,1.9406998110820695
2025-09-28,0.459349494933619
2025-09-29,2.6301314885079776
2025-09-30,3.038935692140953
2025-10-01,2.300255898238973
2025-10-02,1.951748051106975
2025-10-03,3.577223159242159
2025-10-04,6.621405161217403
2025-10-05,0.8097656676361318
2025-10-06,0.2116447875523768
2025-10-07,0.7350101010302232
2025-10-08,1.356055538220339
2025-10-09,5.046544667244529
2025-10-10,0.44633927656141026
2025-10-11,0.004560855773320327
2025-10-12,0.09408601963477992
2025-10-13,1.5741192628554685
2025-10-14,0.1876325438247406
2025-10-15,0.8661903143727514
2025-10-16,1.1747882144331285
2025-10-17,2.5204323866452203
2025-10-18,1.061325468279211
2025-10-19,0.6482842410167802
2025-10-20,0.051178908735298734
2025-10-21,0.7608275069177708
2025-10-22,0.7949940987805793
2025-10-23,0.6083523782945601
2025-10-24,0.5728253388630602
2025-10-25,0.8554992209697598
2025-10-26,1.2735140845792756
2025-10-27,0.4907018035313202
2025-10-28,1.8876177602500697
2025-10-29,0.042410627778617815
2025-10-30,0.6175351048958264
