datetime,evap_mm
2025-08-01 21:00:00,0.07308826274379498
2025-08-01 22:00:00,0.08092454123320181
2025-08-01 23:00:00,0.09896548574198505
2025-08-02 00:00:00,0.13133423223979435
2025-08-02 01:00:00,0.1157363690104205
2025-08-02 02:00:00,0.11159084727509594
2025-08-02 03:00:00,0.16174369754330087
2025-08-02 04:00:00,0.08380594333780778
2025-08-02 05:00:00,0.14422258684558642
2025-08-02 06:00:00,0.21220112078879083
2025-08-02 07:00:00,0.16991703737591024
2025-08-02 08:00:00,0.1395219370255063
2025-08-02 09:00:00,0.05745047523490143
2025-08-02 10:00:00,0.19903267217009102
2025-08-02 11:00:00,0.2268600988093965
2025-08-02 12:00:00,0.23391139688871476
2025-08-02 13:00:00,0.3103904098862813
2025-08-02 14:00:00,0.2245410424656029
2025-08-02 15:00:00,0.458041220970415
2025-08-02 16:00:00,0.3041446791852991
2025-08-02 17:00:00,0.2722804457612824
2025-08-02 18:00:00,0.2605696709352969
2025-08-02 19:00:00,0.0534814645728261
2025-08-02 20:00:00,0.129856640899078
2025-08-02 21:00:00,0.18736971967982186
2025-08-02 22:00:00,0.2394427617129793
2025-08-02 23:00:00,0.14892974479590748
2025-08-03 00:00:00,0.12474454869621354
2025-08-03 01:00:00,0.11959529684358472
2025-08-03 02:00:00,0.13349074777761416
2025-08-03 03:00:00,0.15227971109459304
2025-08-03 04:00:00,0.1336926480136924
2025-08-03 05:00:00,0.13635597978441183
2025-08-03 06:00:00,0.20552864496087864
2025-08-03 07:00:00,0.21585393459019997
2025-08-03 08:00:00,0.1355971309812105
2025-08-03 09:00:00,0.16967560507939083
2025-08-03 10:00:00,0.20574671000062494
2025-08-03 11:00:00,0.25330241469558246
2025-08-03 12:00:00,0.26252331564401743
2025-08-03 13:00:00,0.2676923669826863
2025-08-03 14:00:00,0.2248398232680131
2025-08-03 15:00:00,0.30059487996609846
2025-08-03 16:00:00,0.29845610908887465
2025-08-03 17:00:00,0.17738234023582322
2025-08-03 18:00:00,0.2136481963118797
2025-08-03 19:00:00,0.17363537040409938
2025-08-03 20:00:00,0.0741285761183974
2025-08-03 21:00:00,0.02954103429030397
2025-08-03 22:00:00,0.06817029371370609
2025-08-03 23:00:00,0.01757508485579251
2025-08-04 00:00:00,-0.5384875204393893
2025-08-04 01:00:00,0.010532532904392156
2025-08-04 02:00:00,0.06925498252061857
2025-08-04 03:00:00,0.04225758035178728
2025-08-04 04:00:00,0.04400319665140273
2025-08-04 05:00:00,0.044699588788006395
2025-08-04 06:00:00,0.0445779776910058
2025-08-04 07:00:00,0.04419838121577868
2025-08-04 08:00:00,0.04419820937451391
2025-08-04 09:00:00,0.044198214108007505
2025-08-04 10:00:00,0.043964296843597594
2025-08-04 11:00:00,0.044739919964285946
2025-08-04 12:00:00,0.04401354262870427
2025-08-04 13:00:00,0.0447522314561013
2025-08-04 14:00:00,0.04398891966729934
2025-08-04 15:00:00,0.044161280394206415
2025-08-04 16:00:00,0.04477685441648305
2025-08-04 17:00:00,0.04393967374599583
2025-08-04 18:00:00,0.044296706678721876
2025-08-04 19:00:00,-0.004110832323021896
2025-08-04 20:00:00,-0.012132067897283605
2025-08-04 21:00:00,0.08883240695701033
2025-08-04 22:00:00,0.10817157473468342
2025-08-04 23:00:00,0.10985854933440464
2025-08-05 00:00:00,0.11525235797211053
2025-08-05 01:00:00,0.12923410911497513
2025-08-05 02:00:00,0.0937650021517129
2025-08-05 03:00:00,0.07463673608080512
2025-08-05 04:00:00,0.09295900354749165
2025-08-05 05:00:00,0.15903772612441003
2025-08-05 06:00:00,0.12868794165970598
2025-08-05 07:00:00,0.16739214740647412
2025-08-05 08:00:00,0.11226406700220082
2025-08-05 09:00:00,0.18337555346582235
2025-08-05 10:00:00,0.2141521576824914
2025-08-05 11:00:00,0.17669565599979364
2025-08-05 12:00:00,0.17719625683150753
2025-08-05 13:00:00,0.18566037035338923
2025-08-05 14:00:00,0.16197486458861476
2025-08-05 15:00:00,0.2656756427466007
2025-08-05 16:00:00,0.18352161851098003
2025-08-05 17:00:00,0.2768603070482243
2025-08-05 18:00:00,0.26540081550388095
2025-08-05 19:00:00,0.021893939174503885
2025-08-05 20:00:00,-0.04528021144238892
2025-08-05 21:00:00,0.12162600114970701
2025-08-05 22:00:00,0.14178151618867219
2025-08-05 23:00:00,0.14525181023842038
2025-08-06 00:00:00,0.13019966839979702
2025-08-06 01:00:00,0.09449022801749152
2025-08-06 02:00:00,0.08549972331519484
2025-08-06 03:00:00,0.08051644570062422
2025-08-06 04:00:00,0.09300829356467943
2025-08-06 05:00:00,0.12967780697360354
2025-08-06 06:00:00,0.1658822708496075
2025-08-06 07:00:00,0.18566603735879994
2025-08-06 08:00:00,0.09964928627920244
2025-08-06 09:00:00,0.14454996149387966
2025-08-06 10:00:00,0.17064317530901008
2025-08-06 11:00:00,0.24207847018061557
2025-08-06 12:00:00,0.30293409656928816
2025-08-06 13:00:00,0.29622495094019996
2025-08-06 14:00:00,0.2826088020919997
2025-08-06 15:00:00,0.37418288107249964
2025-08-06 16:00:00,0.38993872964249476
2025-08-06 17:00:00,0.349899606520097
2025-08-06 18:00:00,0.2738313012762035
2025-08-06 19:00:00,-0.016810306066190606
2025-08-06 20:00:00,0.04405133883599888
2025-08-06 21:00:00,0.11762635083988471
2025-08-06 22:00:00,0.13679295139232295
2025-08-06 23:00:00,0.14201597539999966
2025-08-07 00:00:00,0.12352763657759169
2025-08-07 01:00:00,0.1321368156444862
